latitude,longitude,line_number,WARD,PRECINCT
41.9648515,-87.7523218,2008,45.0,15.0
41.9501785,-87.734709,2013,45.0,5.0
41.7764898,-87.7038969,2015,17.0,14.0
41.7858851,-87.6890628,2021,16.0,11.0
41.9269732,-87.7461401,2023,31.0,29.0
41.7265051,-87.6551657,2030,21.0,42.0
41.657617,-87.5455632,2035,10.0,5.0
41.9415154,-87.6569394,2040,44.0,10.0
41.7871654,-87.7343651,2046,13.0,12.0
41.7496449,-87.5768211,2047,8.0,24.0
41.9250608,-87.7396769,2048,31.0,1.0
41.839442,-87.7101265,2052,22.0,11.0
41.9866766,-87.7966842,2067,41.0,26.0
41.891058,-87.7342831,2072,28.0,23.0
41.797725,-87.7640271,2073,14.0,9.0
41.7965667,-87.6978975,2088,14.0,21.0
41.8005625,-87.5908679,2089,4.0,27.0
41.8754731,-87.7306146,2093,28.0,9.0
41.7685007,-87.5890563,2099,5.0,10.0
41.7262297,-87.6755411,2108,19.0,18.0
41.7080992,-87.5308283,2125,10.0,29.0
41.7961774,-87.78228,2127,14.0,1.0
41.9263398,-87.6673127,2129,32.0,13.0
41.7422214,-87.5785923,2137,8.0,49.0
41.9096891,-87.6819371,2141,2.0,15.0
41.6626792,-87.6459414,2143,34.0,26.0
41.9214727,-87.6588267,2158,2.0,20.0
41.9734164,-87.7211916,2167,39.0,10.0
41.9269234,-87.7773962,2168,30.0,11.0
41.7753821,-87.6681355,2170,15.0,22.0
41.6517169,-87.6025696,2172,9.0,15.0
41.9325973,-87.7205313,2174,30.0,24.0
41.7387192,-87.5785323,2180,8.0,50.0
41.7840744,-87.7921402,2186,13.0,21.0
41.9196361,-87.6942051,2191,1.0,13.0
41.8006319,-87.6334679,2202,3.0,10.0
41.7242666,-87.6138632,2207,9.0,25.0
41.8709335,-87.7368559,2210,24.0,19.0
41.7230847,-87.6254292,2211,21.0,45.0
41.8763688,-87.731702,2213,28.0,9.0
41.6814023,-87.6216158,2219,9.0,7.0
41.913422,-87.6949912,2229,1.0,22.0
41.8849784,-87.7337039,2235,28.0,23.0
41.9812643,-87.813388,2243,41.0,34.0
41.9799786,-87.6924435,2251,40.0,20.0
41.782359,-87.6658597,2257,15.0,18.0
41.7308352,-87.6093471,2259,8.0,31.0
41.7113806,-87.6481887,2263,34.0,44.0
41.9510275,-87.826645,2276,38.0,27.0
42.0008346,-87.6745054,2278,40.0,28.0
41.8462506,-87.7230348,2279,22.0,4.0
41.970933,-87.7569957,2285,45.0,31.0
41.9529645,-87.7625876,2287,38.0,34.0
41.7469198,-87.6233734,2290,6.0,41.0
41.9110858,-87.6876289,2293,1.0,27.0
41.7735997,-87.6455095,2304,6.0,28.0
41.6716167,-87.6420866,2306,34.0,31.0
41.7492404,-87.5568413,2309,7.0,20.0
41.8790232,-87.7629123,2320,29.0,16.0
