WARD,PRECINCT,house,suburb,apartment,retail,garage,urban,office,building,roof,porch,church,n_lightfoot_l_2019r,n_preckwinkle_t_2019r,Y
3.0,1.0,0.09090909090909091,0.2727272727272727,0.18181818181818182,0.2727272727272727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,273,132,0.5164835164835165
3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,261,193,0.26053639846743293
3.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,206,113,0.45145631067961167
3.0,4.0,0.4,0.5,0.6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,245,132,0.46122448979591835
3.0,5.0,0.7,0.4,0.1,0.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,109,63,0.42201834862385323
3.0,6.0,0.0,0.0,0.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,0.0,322,66,0.7950310559006211
3.0,7.0,0.5,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,184,76,0.5869565217391305
3.0,8.0,0.0,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,156,79,0.4935897435897436
3.0,9.0,0.5,0.5,1.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,209,126,0.39712918660287083
3.0,10.0,0.4,0.5,0.2,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87,41,0.5287356321839081
3.0,11.0,0.08333333333333333,0.5,0.6666666666666666,0.16666666666666666,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,196,103,0.4744897959183674
3.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,238,135,0.4327731092436975
3.0,13.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,319,86,0.7304075235109718
3.0,14.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,234,88,0.6239316239316239
3.0,15.0,0.25,0.25,0.5,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,179,91,0.49162011173184356
3.0,16.0,0.2857142857142857,0.2857142857142857,0.14285714285714285,0.21428571428571427,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,180,88,0.5111111111111111
3.0,17.0,0.0,0.0,0.5,0.5,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,244,99,0.5942622950819673
3.0,18.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,307,104,0.6612377850162866
3.0,20.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,194,126,0.35051546391752575
3.0,21.0,0.0,0.2,0.8,0.4,0.2,0.4,0.0,0.0,0.0,0.0,0.0,262,116,0.5572519083969466
3.0,22.0,0.0,0.0,1.0,0.5,0.0,1.0,0.0,0.0,0.0,0.0,0.0,288,66,0.7708333333333334
3.0,23.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,158,77,0.5126582278481012
3.0,24.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,179,107,0.4022346368715084
3.0,26.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,330,114,0.6545454545454545
3.0,27.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307,76,0.752442996742671
3.0,28.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,177,84,0.5254237288135594
3.0,29.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215,99,0.5395348837209303
3.0,30.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,105,0.42934782608695654
3.0,31.0,0.5,0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,248,139,0.43951612903225806
3.0,33.0,0.0,0.2,0.2,0.6,0.0,0.8,0.0,0.0,0.0,0.0,0.0,260,73,0.7192307692307692
3.0,34.0,0.0,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,292,75,0.7431506849315068
3.0,35.0,0.25,0.25,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89,54,0.39325842696629215
3.0,36.0,0.6363636363636364,0.7272727272727273,0.09090909090909091,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100,51,0.49
3.0,37.0,0.0,0.2,1.0,0.2,0.2,0.2,0.0,0.0,0.0,0.0,0.0,153,100,0.3464052287581699
3.0,41.0,0.0,0.0,0.6,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,125,0.32065217391304346
4.0,1.0,0.0,0.25,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,189,247,-0.23481781376518218
4.0,3.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129,136,-0.051470588235294115
4.0,4.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,290,186,0.3586206896551724
4.0,5.0,0.3333333333333333,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,224,172,0.23214285714285715
4.0,6.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,284,153,0.4612676056338028
4.0,7.0,0.2727272727272727,0.2727272727272727,0.5454545454545454,0.36363636363636365,0.18181818181818182,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,294,189,0.35714285714285715
4.0,8.0,0.0,0.5,0.75,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,217,187,0.1382488479262673
4.0,10.0,0.16666666666666666,0.3333333333333333,0.6666666666666666,0.5,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,248,172,0.3064516129032258
4.0,11.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198,121,0.3888888888888889
4.0,12.0,0.0,0.6,0.8,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,230,141,0.3869565217391304
4.0,15.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.16666666666666666,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,237,180,0.24050632911392406
4.0,17.0,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,298,95,0.6812080536912751
4.0,18.0,1.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,230,168,0.26956521739130435
